name,date,price,currency,raw_date,raw_price
"Caroni HTR 1997 Rom Dansk Fanklub 22 Year Old","2021-09-13",312,"£,13.09.21,£312"
"Caroni 2000 Velier 17 Year Old High Proof Heavy","2021-09-13",776,"£,13.09.21,£776"
"Caroni Velier Employees 3rd Release 3 x 20cl","2021-09-13",953,"£,13.09.21,£953"
"Caroni 1993 Bristol Classic / The 1423","2021-09-13",1001,"£,13.09.21,£1,001"
"Caroni 1996 Velier Full Proof Heavy / Roopnarine 'Roop' Toolsie","2021-09-13",1550,"£,13.09.21,£1,550"
"Caroni 1997 The 1423 SBS Box Set 4 x 20cl","2021-09-13",270,"£,13.09.21,£270"
"Caroni Jack Tar Music! Series 3 x 70cl","2021-09-13",1750,"£,13.09.21,£1,750"
"Caroni Jack Tar Music! Series 3 x 70cl","2021-09-13",953,"£,13.09.21,£953"
"Casimir 2016 Single ex-Caroni Cask 19 Month Old Clairin Ansyen / Luca Simonetta","2021-09-13",60,"£,13.09.21,£60"
"Caroni 1997 Whisky Agency 16 Year Old","2021-09-13",260,"£,13.09.21,£260"
"Caroni 19 Year Old Berry Brothers and Rudd / TWB 10th Anniversary","2021-09-13",285,"£,13.09.21,£285"
"Caroni 1996 Velier 23 Year Old Full Proof Heavy / 'The Last Caroni'","2021-09-13",1005,"£,13.09.21,£1,005"
"Caroni Navy Rum Tate and Lyle 75 Proof 1960s","2021-09-13",1950,"£,13.09.21,£1,950"
"Caroni 1989 Isla del Ron","2021-08-16",190,"£,16.08.21,£190"
"Caroni 1996 The Secret Treasures","2021-08-16",100,"£,16.08.21,£100"
"Caroni 1996 Velier 20 Year Old Full Proof Heavy","2021-08-16",685,"£,16.08.21,£685"
"Caroni 1994 Velier 23 Year Old 100 Proof Heavy / Guyana Stock","2021-08-16",610,"£,16.08.21,£610"
"Caroni Perfect Measure Samples x 6","2021-08-16",100,"£,16.08.21,£100"
"Caroni 1993 Compagnie des Indes 22 Year Old","2021-08-16",295,"£,16.08.21,£295"
"Caroni 1997 Rum Sponge 23 Year Old Edition No.3A","2021-08-16",380,"£,16.08.21,£380"
"Caroni 1999 Exclusive Rums 17 Year Old","2021-08-16",280,"£,16.08.21,£280"
"Caroni 1996 Velier 20 Year Old Full Proof Heavy","2021-08-16",650,"£,16.08.21,£650"
"Caroni 1996 Velier 20 Year Old Full Proof Heavy","2021-08-16",650,"£,16.08.21,£650"
"Caroni 2000 Velier 17 Year Old High Proof 75cl / US Import","2021-08-16",460,"£,16.08.21,£460"
"Caroni 2000 Velier 12 Year Old 100 Proof","2021-08-16",210,"£,16.08.21,£210"
"Caroni 1996 Velier 21 Year Old 100 Imperial Proof","2021-08-16",243,"£,16.08.21,£243"
"Caroni 1997 Whisky Agency 23 Year Old","2021-08-16",276,"£,16.08.21,£276"
"Caroni 1998 Rum Sponge 22 Year Old Edition No.1","2021-08-16",310,"£,16.08.21,£310"
"Caroni 1998 Velier 21 Year Old Full Proof Heavy / Kevon 'Slippery' Moreno","2021-08-16",800,"£,16.08.21,£800"
"Caroni 1995 Bonpland 21 Year Old","2021-08-16",160,"£,16.08.21,£160"
"Caroni 1974 Bristol Classic","2021-08-16",875,"£,16.08.21,£875"
"Caroni Providence 1991 Moon Import","2021-08-16",240,"£,16.08.21,£240"
"Caroni 1998 Rum Sponge 22 Year Old Edition No.1","2021-08-16",310,"£,16.08.21,£310"
"Caroni 1996 Velier Full Proof Heavy 20cl / Vijay 'Vijay' Ranmarine","2021-08-16",575,"£,16.08.21,£575"
"Caroni 1998 Velier Full Proof Heavy 20cl / Ganesh 'Buju' Ramgobie","2021-08-16",238,"£,16.08.21,£238"
"Caroni 1989 Isla del Ron","2021-08-16",200,"£,16.08.21,£200"
"Caroni 16 Year Old Ancient Mariner 50cl","2021-08-16",121,"£,16.08.21,£121"
"Caroni 1996 Velier 21 Year Old 100 Imperial Proof","2021-08-16",292,"£,16.08.21,£292"
"Caroni 1999 Alambic Classique 16 Year Old","2021-08-16",160,"£,16.08.21,£160"
"Caroni 1996 Velier 23 Year Old Full Proof Blended / Tasting Gang","2021-08-16",450,"£,16.08.21,£450"
"Caroni 2000 Velier 15 Year Old Single Cask Heavy #3767 / LMDW","2021-08-16",1402,"£,16.08.21,£1,402"
"Caroni Navy Rum La Maison and Velier / 100th Anniversary","2021-08-16",200,"£,16.08.21,£200"
"Caroni 1997 Whisky Agency 23 Year Old","2021-08-16",226,"£,16.08.21,£226"
"Caroni HTR 1997 Rom de Luxe 23 Year Old 50cl","2021-08-16",330,"£,16.08.21,£330"
"Caroni Velier Employees 5th Release 3 x 70cl","2021-08-16",3149,"£,16.08.21,£3,149"
"Caroni 1994 Velier 23 Year Old 100 Proof Heavy / Guyana Stock","2021-08-16",651,"£,16.08.21,£651"
"Caroni 1996 Velier 23 Year Old Full Proof Heavy / 'The Last Caroni'","2021-08-16",801,"£,16.08.21,£801"
"Caroni 1996 Velier 23 Year Old Full Proof Heavy / 'The Last Caroni'","2021-08-16",751,"£,16.08.21,£751"
"Caroni 2000 Velier Full Proof Heavy / Nita 'Nitz' Hogan","2021-08-16",1120,"£,16.08.21,£1,120"
"Caroni 1996 Velier 23 Year Old Full Proof Blended / Tasting Gang","2021-08-16",470,"£,16.08.21,£470"
"Caroni 1998 Velier Full Proof Heavy / Ganesh 'Buju' Ramgobie","2021-08-16",1250,"£,16.08.21,£1,250"
"Caroni 1998 Velier Full Proof Heavy / Balas 'Brigade' Bhaggan","2021-08-16",810,"£,16.08.21,£810"
"Caroni 1996 Velier Full Proof Heavy / Vijay 'Vijay' Ranmarine","2021-08-16",1251,"£,16.08.21,£1,251"
"Caroni 1998 Velier Full Proof Heavy / Dayanand 'Yunkoo' Balloon","2021-08-16",925,"£,16.08.21,£925"
"Caroni 2000 Velier Full Proof Heavy / Basdeo 'Dicky' Ramsarran","2021-08-16",776,"£,16.08.21,£776"
"Caroni 1998 Rum Artesanal 50cl","2021-08-16",180,"£,16.08.21,£180"
"Caroni 1997 The Auld Alliance 23 Year Old / Colheitas","2021-08-16",382,"£,16.08.21,£382"
"Caroni 1996 Velier 23 Year Old Full Proof Blended / Tasting Gang","2021-08-16",430,"£,16.08.21,£430"
"Caroni 2000 Velier Full Proof Heavy / Basdeo 'Dicky' Ramsarran","2021-08-16",801,"£,16.08.21,£801"
"Caroni 1996 Velier 23 Year Old Full Proof Heavy / 'The Last Caroni'","2021-08-16",850,"£,16.08.21,£850"
"Caroni 20 Year Old That Boutique-y Rum Company Batch #1","2021-08-16",155,"£,16.08.21,£155"
"Caroni 1998 Rum Nation 22 Year Old Small Batch 50cl","2021-08-16",160,"£,16.08.21,£160"
"Caroni Velier Employees 3rd Release Gift Set 3 x 20cl","2021-08-16",850,"£,16.08.21,£850"
"Caroni 1996 Velier 23 Year Old Full Proof Heavy / 'The Last Caroni'","2021-08-16",800,"£,16.08.21,£800"
"Caroni 2000 Velier 12 Year Old 100 Proof","2021-08-16",190,"£,16.08.21,£190"
"Caroni 1996 Velier 20 Year Old 100 Proof Heavy","2021-08-16",601,"£,16.08.21,£601"
"Caroni 1996 Velier 23 Year Old Full Proof Blended / Tasting Gang","2021-08-16",372,"£,16.08.21,£372"
"Caroni 1994 Velier 23 Year Old 100 Proof Heavy / Guyana Stock","2021-08-16",600,"£,16.08.21,£600"
"Caroni 2000 Velier 17 Year Old High Proof Heavy","2021-08-16",635,"£,16.08.21,£635"
"Caroni 1996 Velier 22 Year Old Full Proof Heavy / John 'D' Eversley","2021-08-16",1251,"£,16.08.21,£1,251"
"Caroni 1994 Velier 23 Year Old Single Cask R6126 1.5 Litre / Velier 70th Anniversary","2021-08-16",3600,"£,16.08.21,£3,600"
"Caroni Velier Employees 4th Release 3 x 70cl","2021-08-16",2220,"£,16.08.21,£2,220"
"Caroni 1996 Velier Full Proof Heavy / Dhanraj 'Dan' Maharaj","2021-08-16",1100,"£,16.08.21,£1,100"
"Caroni 1996 Velier Full Proof Heavy / Dhanraj 'Dan' Maharaj","2021-08-16",1052,"£,16.08.21,£1,052"
"Caroni 1997 Berry Brothers and Rudd 21 Year Old Exceptional Cask","2021-08-16",875,"£,16.08.21,£875"
"Caroni 1996 Velier 21 Year Old 100 Imperial Proof","2021-08-16",320,"£,16.08.21,£320"
"Caroni 1998 Rum Sponge 22 Year Old Edition No.1","2021-08-16",320,"£,16.08.21,£320"
"Casimir 2016 Single ex-Caroni Cask 19 Month Old Clairin Ansyen / Luca Simonetta","2021-08-16",85,"£,16.08.21,£85"
"Casimir 2016 Single ex-Caroni Cask 19 Month Old Clairin Ansyen / Luca Simonetta","2021-08-16",38,"£,16.08.21,£38"
"Caroni 1997 Whisky Krueger 18 Year Old","2021-08-16",271,"£,16.08.21,£271"
"Caroni 1996 Velier 17 Year Old Full Proof Heavy","2021-08-16",901,"£,16.08.21,£901"
"Caroni 2000 Velier 12 Year Old 100 Proof","2021-08-16",180,"£,16.08.21,£180"
"Caroni 1997 Berry Brothers and Rudd 21 Year Old Exceptional Cask","2021-08-16",625,"£,16.08.21,£625"
"Caroni 1996 Velier 23 Year Old Full Proof Heavy / 'The Last Caroni'","2021-08-16",800,"£,16.08.21,£800"
"Caroni 1996 Velier 17 Year Old High Proof Heavy","2021-08-16",676,"£,16.08.21,£676"
"Caroni 1974 Velier 34 Year Old Full Proof Heavy","2021-08-16",2900,"£,16.08.21,£2,900"
"Caroni 1982 Velier 24 Year Old Full Proof Heavy","2021-08-16",1350,"£,16.08.21,£1,350"
"Caroni 1985 Velier 21 Year Old Full Proof Heavy","2021-08-16",1200,"£,16.08.21,£1,200"
"Caroni 1974 Bristol Classic","2021-08-16",1000,"£,16.08.21,£1,000"
"Caroni 1974 Bristol Classic","2021-08-16",1000,"£,16.08.21,£1,000"
"Caroni 1998 Velier 15 Year Old 104 Proof","2021-07-12",220,"£,12.07.21,£220"
"Caroni 2000 Velier 12 Year Old 100 Proof","2021-07-12",200,"£,12.07.21,£200"
"Caroni 1985 Velier 21 Year Old Full Proof Heavy","2021-07-12",1150,"£,12.07.21,£1,150"
